"latitude","longitude","Date","Site_name","Site_number","altitude.x","aspect","soil_rockiness","soil_type","soil_collection_bag__","soil_moisture_field","soil_moisture_dry","disturbance","Site_number_1","site","code","Soil","pH_KCl","Resist","H_cmol_kg","Stone_Vol","P_Bray_II_mg_kg","K_mg_kg","Na_Exchangeable_cations_cmol_kg","K_Exchangeable_cations_cmol_kg","Ca_Exchangeable_cations_cmol_kg","Mg_Exchangeable_cations_cmol_kg","Cu_mg_kg","Zn_mg_kg","Mn_mg_kg","B_mg_kg","Fe_mg_kg","C","Clay","Silt","Sand","Classification","Na","K","Ca","Mg","T_Value_cmol_kg","mat","map","ratio.x","pptcon","summer","tmin","tmax","alt","CDD","CFD","CSU","ECAr20mm","FD","GDD","MAP","MATmax","MATmin","rr2","sdii","SU","MMP.01","MMP.02","MMP.03","MMP.04","MMP.05","MMP.06","MMP.07","MMP.08","MMP.09","MMP.10","MMP.11","MMP.12","MMTmax.01","MMTmax.02","MMTmax.03","MMTmax.04","MMTmax.05","MMTmax.06","MMTmax.07","MMTmax.08","MMTmax.09","MMTmax.10","MMTmax.11","MMTmax.12","MMTmin.01","MMTmin.02","MMTmin.03","MMTmin.04","MMTmin.05","MMTmin.06","MMTmin.07","MMTmin.08","MMTmin.09","MMTmin.10","MMTmin.11","MMTmin.12","MTmax.01","MTmax.02","MTmax.03","MTmax.04","MTmax.05","MTmax.06","MTmax.07","MTmax.08","MTmax.09","MTmax.10","MTmax.11","MTmax.12","MTmin.01","MTmin.02","MTmin.03","MTmin.04","MTmin.05","MTmin.06","MTmin.07","MTmin.08","MTmin.09","MTmin.10","MTmin.11","MTmin.12","MAT","ratio.y","altitude.y","gmap","gmednrfl1","gmednrfl10","gmednrfl11","gmednrfl12","gmednrfl2","gmednrfl3","gmednrfl4","gmednrfl5","gmednrfl6","gmednrfl7","gmednrfl8","gmednrfl9","tmean13c","tminave01c","tminave02c","tminave03c","tminave04c","tminave05c","tminave06c","tminave07c","tminave08c","tminave09c","tminave10c","tminave11c","tminave12c","tmaxave01c","tmaxave02c","tmaxave03c","tmaxave04c","tmaxave05c","tmaxave06c","tmaxave07c","tmaxave08c","tmaxave09c","tmaxave10c","tmaxave11c","tmaxave12c","apan_evap_01","apan_evap_02","apan_evap_03","apan_evap_04","apan_evap_05","apan_evap_06","apan_evap_07","apan_evap_08","apan_evap_09","apan_evap_10","apan_evap_11","apan_evap_12","apan_mean_an","hu10_annc","frostdurc","ratio_schulze","smdwin","smdsum","RFL_CONC","PPTCV"
-24.55073,30.76981,"27-Jun-12","Blyde_River_3","2045",NA,"E","pebbly to bouldery","sandstone",NA,23.413,22.694,"medium","PR_2045","2045","26652","Loam",4.6,"3010",1.07,20,6,260,0.14,0.67,2.68,1.65,4.28,0.8,304.5,0.17,76.64,1.95,"31","26",NA,"SaKlLm",2.18,10.73,43.26,26.59,6.2,18,782,-0.769828927,60,343,-2.200000048,37,1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,782,115,47,95,114,114,84,44,12,2,2,3,11,18,16.2999992370605,16.3999996185303,14.8999996185303,11.6000003814697,7.40000009536743,4.40000009536743,4.40000009536743,6.30000019073486,9.60000038146973,12.3000001907349,14.1999998092651,15.6000003814697,27.3999996185303,27.7999992370605,26.3999996185303,25,23.2000007629395,21,21,22.7999992370605,25.1000003814697,25.2999992370605,26.2999992370605,26.7999992370605,190,163,165,147,135,112,122,152,174,196,190,192,1946,2902.19995117188,7,-0.769828926905132,7.1,42,54.8,23.8
-24.57225,30.77986,"27-Jun-12","Blyde_River_4","2046",NA,"S","bouldery","sandstone",NA,27.691,26.56,"low","PR_2046","2046","26653","Sand",3.7,"*",2.74,5,9,64,0.08,0.16,0.69,0.29,0.94,0.5,11.7,0.18,105.13,2.14,"11","6",NA,"SaLm",2.01,4.12,17.32,7.29,3.96,17.5,753,-0.764135703,60,325,-2.700000048,36.70000076,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217,753,111,45,92,103,111,84,42,12,2,2,3,12,17.5,15.8999996185303,15.8999996185303,14.3999996185303,11.1000003814697,6.90000009536743,3.90000009536743,3.90000009536743,5.90000009536743,9.10000038146973,11.8999996185303,13.8000001907349,15.1999998092651,27,27.2999992370605,26,24.6000003814697,22.7999992370605,20.5,20.5,22.3999996185303,24.7000007629395,25,25.8999996185303,26.3999996185303,188,165,166,146,134,111,121,151,174,196,189,191,1936.69995117188,2749.89990234375,14,-0.764135702746365,16.4,64.5,54.3,26.5
-24.57602,30.79812,"26-Jun-12","Blyde_River_1","2043",NA,"W","pebbly to bouldery","sandstone",NA,26.741,24.561,"low","PR_2043","2043","26650","Loam",3.9,"6160",2.95,12,5,90,0.06,0.23,0.97,0.39,1.42,0.6,8.9,0.25,217.13,2.35,"17","10",NA,"SaLm",1.35,5,21.13,8.56,4.61,17.89999962,781,-0.761609907,60,339,-2.200000048,37,978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978,781,116,46,95,107,116,89,44,13,2,2,4,12,17.8999996185303,16.2000007629395,16.2999992370605,14.8000001907349,11.5,7.30000019073486,4.30000019073486,4.30000019073486,6.19999980926514,9.5,12.1999998092651,14.1000003814697,15.5,27.2999992370605,27.7000007629395,26.2999992370605,24.8999996185303,23.1000003814697,20.7999992370605,20.8999996185303,22.7000007629395,25,25.2999992370605,26.2000007629395,26.7000007629395,208,175,172,139,125,104,116,148,175,196,201,206,1969.30004882812,2869.89990234375,8,-0.761609907120743,16.4,64.5,54.3,26.5
-24.57694,30.79812,"26-Jun-12","Blyde_River_2","2044",NA,"E","bedrock","sandstone",NA,43.792,43.38,"low","PR_2044","2044","26651","Sand",3.7,"6510",2.74,4,15,54,0.05,0.14,0.44,0.12,0.4,0.5,3.4,0.17,87.63,2.35,"9","6",NA,"LmSa",1.31,3.92,12.72,3.56,3.49,17.89999962,781,-0.761609907,60,339,-2.200000048,37,978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978,781,116,46,95,107,116,89,44,13,2,2,4,12,17.8999996185303,16.2000007629395,16.2999992370605,14.8000001907349,11.5,7.30000019073486,4.30000019073486,4.30000019073486,6.19999980926514,9.5,12.1999998092651,14.1000003814697,15.5,27.2999992370605,27.7000007629395,26.2999992370605,24.8999996185303,23.1000003814697,20.7999992370605,20.8999996185303,22.7000007629395,25,25.2999992370605,26.2000007629395,26.7000007629395,208,175,172,139,125,104,116,148,175,196,201,206,1969.30004882812,2869.89990234375,8,-0.761609907120743,16.4,64.5,54.3,26.5
-25.14346,30.62235,"28-Jun-12","Long_Tom_Pass_2","2047",NA,"N","bouldery","sandstone",NA,21.321,19.428,"high","PR_2047","2047","26654","Sand",4,"*",2.24,10,5,83,0.08,0.21,0.79,0.27,3.81,2.4,52.8,0.25,67.52,2.45,"15","16",NA,"SaLm",2.1,5.93,22.11,7.45,3.59,14.39999962,989,-0.745011086,57,458,-3.700000048,30.89999962,1753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753,989,171,89,142,153,134,98,49,18,5,5,11,27,14.3999996185303,12.8999996185303,12.8000001907349,11.8999996185303,9.5,6.80000019073486,4.09999990463257,3.79999995231628,5.40000009536743,8.10000038146973,9.89999961853027,11.3000001907349,12.3999996185303,22.2999992370605,21.8999996185303,21.3999996185303,19.7000007629395,17.8999996185303,15.8000001907349,15.8999996185303,17.7999992370605,20.5,21,21.3999996185303,21.7999992370605,124,102,125,116,131,107,112,145,144,142,145,130,1527.69995117188,1695.19995117188,26,-0.745011086474501,31.4,86.8,53.3,17.3
-25.14346,30.62235,"28-Jun-12","Long_Tom_Pass_2","2047",NA,"N","bouldery","sandstone",NA,21.321,19.428,"high","PR_2047","2047","26654","Sand",4,"*",2.24,10,5,83,0.08,0.21,0.79,0.27,3.81,2.4,52.8,0.25,67.52,2.45,"15","16",NA,"SaLm",2.1,5.93,22.11,7.45,3.59,14.39999962,989,-0.745011086,57,458,-3.700000048,30.89999962,1753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753,989,171,89,142,153,134,98,49,18,5,5,11,27,14.3999996185303,12.8999996185303,12.8000001907349,11.8999996185303,9.5,6.80000019073486,4.09999990463257,3.79999995231628,5.40000009536743,8.10000038146973,9.89999961853027,11.3000001907349,12.3999996185303,22.2999992370605,21.8999996185303,21.3999996185303,19.7000007629395,17.8999996185303,15.8000001907349,15.8999996185303,17.7999992370605,20.5,21,21.3999996185303,21.7999992370605,124,102,125,116,131,107,112,145,144,142,145,130,1527.69995117188,1695.19995117188,26,-0.745011086474501,31.4,86.8,53.3,17.3
-25.14589,30.30664,"28-Jun-12","Mashsishing","2048",NA,"E","bouldery","shale",NA,28.498,27.609,"high","PR_2048","2048","26655","Loam",4,"*",1.93,8,6,60,0.03,0.15,0.38,0.1,1,0.6,5.6,0.18,42.82,1.92,"11","16",NA,"SaLm",1.32,5.93,14.75,3.84,2.6,14.69999981,736,-0.791730475,59,326,-5.800000191,31.89999962,1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844,736,114,60,116,119,93,83,39,10,1,0,1,17,14.6999998092651,13,12.6000003814697,11.6999998092651,8.80000019073486,5.19999980926514,2.29999995231628,2.29999995231628,3.79999995231628,6.69999980926514,9.39999961853027,10.6999998092651,12.3999996185303,23.8999996185303,23.5,23.1000003814697,21.1000003814697,19.1000003814697,16.5,17,18.8999996185303,21.7999992370605,22.6000003814697,22.6000003814697,23.2000007629395,187,150,164,149,137,110,118,153,176,188,186,190,1913,1792.69995117188,61,-0.791730474732006,11.2,69.4,54.3,17.7
-25.66856,31.0459,"2-Jul-12","Diggers_Rest","2050",NA,"S","pebbly","sandstone",NA,30.21,27.381,"medium","PR_2050","2050","26657","Loam",4.9,"970",0.86,9,8,170,0.27,0.43,7.98,25.74,4.64,3.2,414.8,0.72,145.1,8.81,"27","28",NA,"SaKlLm",0.77,1.23,22.61,72.96,35.28,19.89999962,695,-0.784411277,58,301,-0.200000003,38.29999924,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,695,101,55,102,111,89,80,34,11,1,1,2,16,19.8999996185303,18.5,18.6000003814697,17.2000007629395,14.3000001907349,10,6.80000019073486,6.59999990463257,8.89999961853027,12.1999998092651,14.6999998092651,16.2999992370605,17.7000007629395,29,29.1000003814697,28.1000003814697,26.2999992370605,25,23,23.1000003814697,24.7000007629395,26.5,26.7999992370605,26.8999996185303,28.1000003814697,205,179,171,137,122,100,112,145,169,191,188,206,1930,3615.60009765625,-1,-0.78441127694859,14.9,59,52,22.8
-25.78734,31.08299,"1-Jul-12","Songmivelo_1","2049",NA,"E","pebbly","sandstone",NA,22.943,21.102,"low","PR_2049","2049","26656","Loam",4.1,"*",2.64,31,5,217,0.28,0.56,2.65,2.59,4.54,1.5,104.1,0.39,95.58,34.68,"35","16",NA,"SaKlLm",3.19,6.38,30.43,29.73,8.72,17.5,764,-0.78280543,57,332,-2.799999952,36.09999847,1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,764,114,59,111,125,93,89,37,13,1,1,2,18,17.5,16.2000007629395,15.8999996185303,14.6000003814697,11.6999998092651,7.30000019073486,4,3.90000009536743,6.40000009536743,9.69999980926514,12.5,14.1999998092651,15.5,26.7000007629395,26.6000003814697,25.7999992370605,23.7999992370605,22.2999992370605,20.2000007629395,20.5,22.3999996185303,24.7000007629395,25,24.7999992370605,26.1000003814697,162,139,148,140,126,107,118,152,161,165,155,170,1749.19995117188,2752.5,16,-0.782805429864253,14.9,59,52,22.8
-25.78734,31.08299,"1-Jul-12","Songmivelo_1","2049",NA,"E","pebbly","sandstone",NA,22.943,21.102,"low","PR_2049","2049","26656","Loam",4.1,"*",2.64,31,5,217,0.28,0.56,2.65,2.59,4.54,1.5,104.1,0.39,95.58,34.68,"35","16",NA,"SaKlLm",3.19,6.38,30.43,29.73,8.72,17.5,764,-0.78280543,57,332,-2.799999952,36.09999847,1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,764,114,59,111,125,93,89,37,13,1,1,2,18,17.5,16.2000007629395,15.8999996185303,14.6000003814697,11.6999998092651,7.30000019073486,4,3.90000009536743,6.40000009536743,9.69999980926514,12.5,14.1999998092651,15.5,26.7000007629395,26.6000003814697,25.7999992370605,23.7999992370605,22.2999992370605,20.2000007629395,20.5,22.3999996185303,24.7000007629395,25,24.7999992370605,26.1000003814697,162,139,148,140,126,107,118,152,161,165,155,170,1749.19995117188,2752.5,16,-0.782805429864253,14.9,59,52,22.8
